key,nPCA,nn,resolution,silhouetteScore,varianceRatioCriterion,DaviesBouldin
ND,17,19,0.4,0.37049103,973.7010531466069,1.4640658511152742
ND,17,19,0.5,0.38137147,1015.7460836811017,0.9034115830888144
ND,17,19,0.6,0.38391054,991.2494238682259,1.4139097487763397
ND,17,19,0.7000000000000001,0.37692326,970.7021989908086,1.470178913687937
ND,17,19,0.8,0.37692326,970.7021989908086,1.470178913687937
ND,17,19,0.9,0.38291416,996.3798694336177,0.9151255123742164
ND,17,19,1.0,0.37901536,974.8500349772457,1.4566507654391463
ND,25,19,0.1,0.33975074,770.3652314015933,0.8981679647793982
ND,25,19,0.2,0.43067887,1321.7519128380852,0.7209053021107613
ND,25,19,0.30000000000000004,0.3569191,921.0278547088943,1.9779984476699188
ND,25,19,0.4,0.386746,1167.7071582862363,1.8556765959810553
ND,25,19,0.5,0.39583555,1062.633037512068,1.7742312409367935
ND,25,19,0.6,0.40999487,1125.1646541552718,1.8324184915850092
ND,25,19,0.7000000000000001,0.40638438,1091.5731953242064,1.689660073070177
ND,25,19,0.8,0.4061802,1077.2576654474474,1.6899853492092742
ND,25,19,0.9,0.40677643,1079.7367052515006,1.68038996096029
ND,25,19,1.0,0.40677643,1079.7367052515006,1.68038996096029
ND,33,19,0.1,0.3623193,908.5596588031053,0.705916650716726
ND,33,19,0.2,0.4394477,1295.2072778629768,0.6815963942842554
ND,33,19,0.30000000000000004,0.41235483,1127.1141992545802,1.7002592960278526
ND,33,19,0.4,0.39979592,1165.5857136980642,1.5531086194026262
ND,33,19,0.5,0.41366956,1299.8434331357676,1.5012284520164667
ND,33,19,0.6,0.41366956,1299.8434331357676,1.5012284520164667
ND,33,19,0.7000000000000001,0.42372775,1320.683876658835,1.4839902007293542
ND,33,19,0.8,0.42182127,1324.3365855724537,1.4655669722451568
ND,33,19,0.9,0.40983364,1115.1883268432605,1.479723040756866
ND,33,19,1.0,0.39277822,1264.3505603842468,1.316093014440104
ND,41,19,0.1,0.36356103,911.4686231394334,0.7038175728912626
ND,41,19,0.2,0.44576532,1323.559520757196,0.6832922106627815
ND,41,19,0.30000000000000004,0.38746426,715.3576364541625,1.4820223282113056
ND,41,19,0.4,0.41421914,1276.7711651964423,0.6095935458842111
ND,41,19,0.5,0.41936535,1455.5406424041662,0.6026461996538244
ND,41,19,0.6,0.43143904,1483.9393918684757,0.6520292133213145
ND,41,19,0.7000000000000001,0.43274787,1489.1180216014932,0.6510722679160809
ND,41,19,0.8,0.4176486,1472.1752033029386,0.6347676295254006
ND,41,19,0.9,0.41587624,1413.9906886180406,0.6395168408044793
ND,41,19,1.0,0.40608045,1425.098101494799,0.6367240898110678
ND,48,19,0.1,0.35805547,875.309719735409,0.711053601005215
ND,48,19,0.2,0.46184766,1431.2942053040224,0.7284267545418605
ND,48,19,0.30000000000000004,0.42913967,1248.9344783472459,0.6072570909558067
ND,48,19,0.4,0.3832787,710.1112389678302,1.5231897138696102
ND,48,19,0.5,0.35945466,654.089766161303,1.343948730019389
ND,48,19,0.6,0.393005,1098.3245727426058,0.6316772505883543
ND,48,19,0.7000000000000001,0.41133812,1200.452697245224,0.6644888683748692
ND,48,19,0.8,0.40958473,1183.7630521048825,0.6582946138613783
ND,48,19,0.9,0.38844648,1135.5022608716301,0.675092968092905
ND,48,19,1.0,0.39002958,1141.655490899673,0.6605236498325596
ND,56,19,0.1,0.32542583,744.9559107390265,0.6862987056788505
ND,56,19,0.2,0.37351987,682.1479201106563,0.9686511484559968
ND,56,19,0.30000000000000004,0.42064172,1166.4869059873872,0.6164108734464024
ND,56,19,0.4,0.36115503,652.8782745394841,1.4797806602434502
ND,56,19,0.5,0.37424883,647.8100284921185,1.630209892883515
ND,56,19,0.6,0.35109437,567.2869803225249,1.6068453943436347
ND,56,19,0.7000000000000001,0.35263407,569.3277146875536,1.6041091138843881
ND,56,19,0.8,0.4034675,1075.1167672660122,0.6933040730560507
ND,56,19,0.9,0.3820991,1023.0561858079583,0.6855428419284076
ND,56,19,1.0,0.38173428,1020.6406899370793,0.6895955047378569
ND,64,19,0.1,0.26041391,601.563008707216,0.706103629149951
ND,64,19,0.2,0.3657547,657.5133152137081,0.9906180674817922
ND,64,19,0.30000000000000004,0.33238593,565.4278537971124,0.9268755443993628
ND,64,19,0.4,0.34650496,612.762661225646,1.5743699385906562
ND,64,19,0.5,0.34301138,605.3549321748362,1.5608842183376956
ND,64,19,0.6,0.3572396,596.48600821796,1.6266188089530527
ND,64,19,0.7000000000000001,0.34797493,579.6533097519107,1.7213488061143614
ND,64,19,0.8,0.34571335,547.2099744225768,2.0600074288630736
ND,64,19,0.9,0.38931164,920.7189888438202,0.747411643734239
ND,64,19,1.0,0.375783,900.205750089786,0.7611685346366174
ND,72,19,0.1,0.2587268,595.8933299850579,0.7071695971259393
ND,72,19,0.2,0.37084556,664.6401663353842,0.9411240398297128
ND,72,19,0.30000000000000004,0.3500997,612.6985335758147,0.9366892051913442
ND,72,19,0.4,0.35967365,631.8985689983983,1.6730342802734464
ND,72,19,0.5,0.37122232,639.7066805841462,1.4875288372227062
ND,72,19,0.6,0.35658893,553.1179315056554,1.1026734736882806
ND,72,19,0.7000000000000001,0.35218424,563.8164403911683,1.4475995337177963
ND,72,19,0.8,0.3537105,544.3533113982031,2.4090814368949207
ND,72,19,0.9,0.33621398,517.2239641138282,2.3898041084386485
ND,72,19,1.0,0.33829206,521.4706481085962,2.3697406132071026
ND,80,19,0.1,0.24982154,568.1737876173074,0.7201612393339984
ND,80,19,0.2,0.37191045,658.8668120724717,1.0230205060109328
ND,80,19,0.30000000000000004,0.3492493,628.3678359572313,1.7630981565447197
ND,80,19,0.4,0.3399552,578.8671815410335,1.681098522100122
ND,80,19,0.5,0.3497194,529.5203699436064,1.1072329352997952
ND,80,19,0.6,0.35114452,556.5275101844312,1.598881362699666
ND,80,19,0.7000000000000001,0.34829152,544.3298344057114,1.5451169597731829
ND,80,19,0.8,0.33518443,495.9121447059908,2.376857747693677
ND,80,19,0.9,0.3368491,496.59465577930814,2.382247925576953
ND,80,19,1.0,0.33598435,499.6956960830571,2.273920891184516
ND,10,26,0.1,0.24020305,471.2615690665497,1.181284075746071
ND,10,26,0.2,0.3681433,917.3873718615264,2.826572423283962
ND,10,26,0.30000000000000004,0.35708255,873.5540095404763,1.7884656567580604
ND,10,26,0.4,0.3548315,814.2868818600477,1.6838301984507509
ND,10,26,0.5,0.35664508,808.3574057616785,1.429533607881612
ND,10,26,0.6,0.3029252,703.3482333042789,2.138771607673541
ND,10,26,0.7000000000000001,0.3107747,728.2081454395636,2.6936361023314763
ND,10,26,0.8,0.30999607,707.8844603755558,2.5360353150429424
ND,10,26,0.9,0.3032374,677.5412310287004,2.8725649277053025
ND,10,26,1.0,0.3205759,689.5989982929487,2.8415489320337293
ND,17,26,0.1,0.26681057,730.7701914056128,0.8376646415657664
ND,17,26,0.2,0.32467982,605.1023185930779,1.0324932069529786
ND,17,26,0.30000000000000004,0.33882573,656.6742086541251,1.7289999297677
ND,17,26,0.4,0.34004906,658.9090873374779,1.6849026752665563
ND,17,26,0.5,0.35185885,958.8782645820464,0.9290463556796301
ND,17,26,0.6,0.39360875,1099.180450701931,0.8722571367145662
ND,17,26,0.7000000000000001,0.3918779,1049.8117593489435,0.9366705512398263
ND,17,26,0.8,0.38963145,1048.9174039624638,0.9054741101346765
ND,17,26,0.9,0.39140826,1053.12794533123,0.975348758580487
ND,17,26,1.0,0.38991958,1049.9754911869168,0.9782161974408476
ND,25,26,0.1,0.35935593,887.9978542236902,0.701970494483708
ND,25,26,0.2,0.430554,1321.1754326206838,0.7202788717424153
ND,25,26,0.30000000000000004,0.40451464,1223.887475636868,0.6611482149961198
ND,25,26,0.4,0.3581212,668.068702581336,2.7018254549218974
ND,25,26,0.5,0.40120146,1131.6064069703275,1.9137939374603736
ND,25,26,0.6,0.41151452,1252.2981850446151,1.8166724944868873
ND,25,26,0.7000000000000001,0.42064288,1261.81748626488,1.7003140679674074
ND,25,26,0.8,0.41744107,1246.3183312624499,1.6663137162312538
ND,25,26,0.9,0.41744107,1246.3183312624499,1.6663137162312538
ND,25,26,1.0,0.40741262,1070.6431134403128,1.6326970044816336
ND,33,26,0.1,0.33129233,773.243945155588,0.673017994503245
ND,33,26,0.2,0.42160696,1217.6632840368795,0.7573477328692781
ND,33,26,0.30000000000000004,0.39900976,1173.1007402339167,0.6768135783221759
ND,33,26,0.4,0.39124385,674.7234386427355,1.4338656476519702
ND,33,26,0.5,0.39922065,1148.9725462868566,1.7297824163813742
ND,33,26,0.6,0.40906274,1269.6845050724812,1.6699056075679088
ND,33,26,0.7000000000000001,0.42100042,1287.0893483246946,1.6604765374665458
ND,33,26,0.8,0.42279765,1303.5665624775227,1.6257604933371446
ND,33,26,0.9,0.4177028,1273.2057324145003,1.470091597406869
ND,33,26,1.0,0.41807184,1275.2761115729356,1.4701591421708058
ND,41,26,0.1,0.36249956,904.3371466494683,0.7011036793617335
ND,41,26,0.2,0.44585785,1318.2863585981306,0.6811811497670617
ND,41,26,0.30000000000000004,0.4362187,1356.8649674546161,0.6455679404548095
ND,41,26,0.4,0.4256916,1294.2705473282026,0.6229527001166267
ND,41,26,0.5,0.36311427,658.55622903801,1.348440326769265
ND,41,26,0.6,0.41421506,1395.452807454948,0.6053338964125343
ND,41,26,0.7000000000000001,0.42591318,1366.3484093315053,0.661573868734172
ND,41,26,0.8,0.42896584,1378.5710606463856,0.6619395387965875
ND,41,26,0.9,0.4239652,1435.5917522561167,0.6300219496389428
ND,41,26,1.0,0.42420024,1435.98682482604,0.6313174052829025
ND,48,26,0.1,0.3625912,906.0615741229954,0.7013576690189112
ND,48,26,0.2,0.4506704,1383.4305620653183,0.7381469774231422
ND,48,26,0.30000000000000004,0.43620157,1355.3579268423812,0.6458814806581499
ND,48,26,0.4,0.37286657,668.9281416037036,1.505453613122025
ND,48,26,0.5,0.36927667,649.0496237034447,1.3948465831662276
ND,48,26,0.6,0.35151163,588.3286700626337,1.3345905470666177
ND,48,26,0.7000000000000001,0.41183504,1159.4811059096858,0.6720869491021049
ND,48,26,0.8,0.41413286,1165.5181668459995,0.6718008794563401
ND,48,26,0.9,0.41080552,1186.7863679539487,0.6619114816086373
ND,48,26,1.0,0.41586152,1209.9697782152903,0.6736800573501108
ND,56,26,0.1,0.35997227,897.0255420961769,0.7015499949445573
ND,56,26,0.2,0.37731996,689.2561429346584,0.9597538666315314
ND,56,26,0.30000000000000004,0.37112987,639.6309266342083,0.9265412964744589
ND,56,26,0.4,0.37267914,692.4069707489108,1.6278943945303033
ND,56,26,0.5,0.35623318,578.6704086059184,1.3714928579610088
ND,56,26,0.6,0.34046757,556.9918779503041,1.350599261712946
