cellType,TF,nTargets,sigTargets,percSig,nUp,nDown,meanLFC_up,meanLFC_down
Mac1,MEF2D,183,41,0.22404371584699453,93,81,0.4458760747885699,-0.33868976868735756
Mac1,MEIS1,4246,1109,0.26118699952896846,2189,1909,0.4562865907975331,-0.4119779234071049
Mac1,MEN1,6048,1608,0.26587301587301587,3190,2758,0.42283202644526713,-0.4070828801181952
Mac1,MITF,254,76,0.2992125984251969,148,104,0.44332228050259664,-0.38892689857739254
Mac1,MORC3,363,104,0.2865013774104683,170,185,0.4000203152941078,-0.31644070465151647
Mac1,MPND,1,1,1.0,1,0,0.2228482695191083,
Mac1,MSGN1,2,0,0.0,2,0,0.6976969255878174,
Mac1,MSL1,286,80,0.27972027972027974,151,128,0.38910095854577326,-0.4004679274563696
Mac1,MSL2,85,18,0.21176470588235294,55,26,0.29705870494368186,-0.265617520049191
Mac1,MSX1,15,3,0.2,7,7,0.4156161510117596,-0.4546427677085587
Mac1,MTA1,162,39,0.24074074074074073,86,71,0.49373794337908555,-0.49580145805663467
Mac1,MTA2,7411,1857,0.2505734718661449,3851,3364,0.45395174967197144,-0.41296502766643445
Mac1,MTA3,11,1,0.09090909090909091,4,7,0.2781444119668901,-0.26567837717236303
Mac1,MTF1,111,34,0.3063063063063063,61,49,0.40978170709427264,-0.41913850400654196
Mac1,MTF2,5295,830,0.15675165250236073,2301,2225,0.49821286508399226,-0.4107251291897318
Mac1,MXI1,1167,326,0.27934875749785776,612,546,0.39369656886082677,-0.40666356147119165
Mac1,MYB,82,20,0.24390243902439024,38,44,0.3850682431672111,-0.40455140846383864
Mac1,MYC,13628,2716,0.19929556794834166,6255,5923,0.489462056296017,-0.41569635101938074
Mac1,MYCN,1596,483,0.3026315789473684,788,783,0.4143290789576304,-0.39054425142860627
Mac1,MYEF2,47,11,0.23404255319148937,24,18,0.46054704224781745,-0.45544676669570516
Mac1,MYF5,130,40,0.3076923076923077,69,57,0.537041771837447,-0.38161994806621524
Mac1,MYO1C,1,1,1.0,0,1,,-0.501475634629335
Mac1,MYOD1,8230,1928,0.23426488456865127,4165,3674,0.45349885136246126,-0.4102425208028673
Mac1,MYOG,3506,862,0.24586423274386765,1814,1543,0.47566369967535144,-0.4242515404863566
Mac1,MYT1L,952,242,0.2542016806722689,532,394,0.4846785680897341,-0.39448055569775475
Mac1,NAA10,6,1,0.16666666666666666,3,0,0.3405058000083825,
Mac1,NACC1,2,1,0.5,1,1,1.5350693177026997,-2.6917229894274923
Mac1,NANOG,13414,2581,0.1924109139704786,5987,5790,0.4808694220149256,-0.40647831389692635
